id,fecha,usuario,texto,tema,sentimiento,likes,reposts
1,2022-04-01,user_56734,"Como diría Habermas, el concepto de manipulación explica perfectamente lo que estamos viviendo hoy.",IA y Pérdida de Autonomía,negativo,5499,2211
2,2022-04-28,user_10955,"La IA no es neutral, perdemos la capacidad de elegir transformándonos en mercancía.",IA y Pérdida de Autonomía,positivo,26761,645
3,2023-10-15,user_26024,Heidegger lo advirtió: perdemos la capacidad de elegir controlando nuestra conducta.,IA y Pérdida de Autonomía,negativo,46801,12807
4,2023-01-26,user_36488,"Cada vez que Netflix elige por mí, nuestros deseos son manufacturados controlando nuestra conducta.",IA y Pérdida de Autonomía,negativo,48736,20173
5,2022-03-09,user_84302,Heidegger lo advirtió: perdemos la capacidad de elegir ¿dónde queda el humano?,IA y Pérdida de Autonomía,neutral,19452,492
6,2022-05-06,user_85901,¿Es sociedad del cansancio el mayor desafío de nuestra era? A veces parece que no tenemos salida.,Generación Z y Crisis de Sentido,negativo,34132,5810
7,2022-12-08,user_82495,"Como diría Bauman, el concepto de vacío existencial explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,negativo,43403,11698
8,2023-09-27,user_59631,"Como diría Sartre, el concepto de inmediatez explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,negativo,16657,1811
9,2023-03-28,user_78011,Heidegger lo advirtió: somos simples recursos de datos y no nos damos cuenta.,IA y Pérdida de Autonomía,neutral,5808,1512
10,2024-04-28,user_26494,¿Es pensamiento crítico el mayor desafío de nuestra era? A veces parece que no tenemos salida.,IA y Pérdida de Autonomía,negativo,43044,7081
11,2024-05-18,user_57404,A veces siento que el deseo de ser viral es agotador.,Generación Z y Crisis de Sentido,negativo,49090,8161
12,2023-06-22,user_65881,"Como diría Huxley, el concepto de predicción de comportamiento explica perfectamente lo que estamos viviendo hoy.",IA y Pérdida de Autonomía,negativo,47026,5729
13,2024-04-30,user_30616,Heidegger lo advirtió: la tecnología decide nuestro futuro y no nos damos cuenta.,IA y Pérdida de Autonomía,neutral,17072,4031
14,2024-01-06,user_67671,No sé si soy yo o la presión por ser productivo nos está consumiendo.,Generación Z y Crisis de Sentido,neutral,15897,4104
15,2023-01-05,user_19695,"Como diría Camus, el concepto de metarrelatos explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,neutral,41308,8827
16,2024-02-20,user_27834,"Como diría Sartre, el concepto de metarrelatos explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,neutral,47411,23479
17,2023-02-12,user_12705,"Como diría Huxley, el concepto de predicción de comportamiento explica perfectamente lo que estamos viviendo hoy.",IA y Pérdida de Autonomía,positivo,31616,1491
18,2023-09-12,user_76854,¿Somos usuarios o perdemos la capacidad de elegir y no nos damos cuenta.,IA y Pérdida de Autonomía,neutral,29454,5285
19,2022-01-29,user_71047,¿Es narcisismo digital el mayor desafío de nuestra era? A veces parece que no tenemos salida.,Generación Z y Crisis de Sentido,neutral,1566,53
20,2024-02-17,user_51545,¿Somos usuarios o la manipulación es invisible es el fin del libre albedrío.,IA y Pérdida de Autonomía,positivo,48006,22485
21,2023-08-01,user_62964,La verdad es que la cultura de la cancelación crea un vacío imposible de llenar.,Generación Z y Crisis de Sentido,neutral,14585,3755
22,2023-05-04,user_10695,Es increíble cómo la identidad que cambia como tendencia es el mito de Sísifo moderno.,Generación Z y Crisis de Sentido,neutral,14298,4794
23,2022-02-16,user_10691,"Como diría Foucault, el concepto de cajas negras explica perfectamente lo que estamos viviendo hoy.",IA y Pérdida de Autonomía,neutral,39624,4488
24,2022-02-01,user_53020,"Como diría Camus, el concepto de narcisismo digital explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,positivo,14025,231
25,2023-06-08,user_20520,¿Es desocultamiento el mayor desafío de nuestra era? A veces parece que no tenemos salida.,IA y Pérdida de Autonomía,negativo,2924,702
26,2022-12-11,user_53670,La verdad es que la presión por ser productivo borra quiénes somos realmente.,Generación Z y Crisis de Sentido,neutral,37065,1626
27,2022-08-08,user_39255,"Como diría Sartre, el concepto de narcisismo digital explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,negativo,38621,13365
28,2024-05-16,user_20528,La verdad es que la cultura de la cancelación ¿realmente nos hace felices?,Generación Z y Crisis de Sentido,negativo,28186,4690
29,2023-11-09,user_24992,¿Es burbuja de filtros el mayor desafío de nuestra era? A veces parece que no tenemos salida.,IA y Pérdida de Autonomía,neutral,5074,2330
30,2023-01-08,user_97873,"Como diría Bauman, el concepto de autenticidad explica perfectamente lo que estamos viviendo hoy.",Generación Z y Crisis de Sentido,neutral,46603,15567
