id,fecha,usuario,texto,tema,sentimiento,likes,reposts
1,2025-01-28,user_54620,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,3735,300
2,2021-02-22,user_75116,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,positivo,1993,3102
3,2023-02-02,user_87031,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,negativo,9875,4778
4,2022-05-29,user_89033,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,negativo,1457,2252
5,2021-04-23,user_51990,Siento que la IA decide por mí más de lo que admito.,"Tecnología, IA y autonomía humana",positivo,14419,2639
6,2024-10-11,user_16461,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,neutral,10509,4516
7,2025-08-04,user_55439,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",positivo,104,4756
8,2023-09-11,user_57161,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,9551,3253
9,2022-07-15,user_88277,La Gen Z vive buscando validación digital sin darse cuenta.,"Tecnología, IA y autonomía humana",positivo,15552,3891
10,2025-01-05,user_32686,TikTok define más mi identidad que cualquier proyecto personal.,Generación Z y crisis de sentido,neutral,170,1010
11,2022-12-27,user_7556,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",negativo,15782,4264
12,2022-07-29,user_43151,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",negativo,10064,4026
13,2023-10-17,user_71616,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,negativo,4075,4753
14,2025-08-21,user_62173,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,neutral,486,340
15,2024-03-09,user_73174,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,16656,3017
16,2023-11-18,user_25981,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",negativo,16972,924
17,2021-06-17,user_88311,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",negativo,319,1771
18,2025-04-08,user_43563,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,neutral,1658,4520
19,2025-06-01,user_51615,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,positivo,11114,1458
20,2025-02-28,user_43088,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",neutral,6191,4463
21,2022-12-30,user_87370,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",negativo,7173,4958
22,2024-05-08,user_20635,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,positivo,14206,2500
23,2025-04-09,user_7011,La autenticidad parece imposible en un mundo tan performativo.,Generación Z y crisis de sentido,positivo,12725,3015
24,2023-07-20,user_25520,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",positivo,3742,2893
25,2025-05-02,user_31184,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,neutral,7684,87
26,2025-07-08,user_46128,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,positivo,4859,3660
27,2022-08-03,user_86704,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,1910,1137
28,2021-01-26,user_19502,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,neutral,4241,2298
29,2023-07-11,user_22410,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,negativo,19658,4484
30,2023-10-21,user_89025,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",positivo,12341,3726
31,2024-12-02,user_3511,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",neutral,14380,4097
32,2025-04-09,user_30926,Cada recomendación automática reduce mi libertad de elección.,"Tecnología, IA y autonomía humana",positivo,4876,3289
33,2021-03-04,user_18759,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,negativo,6863,906
34,2021-06-29,user_25479,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",neutral,11439,1662
35,2025-09-23,user_60127,TikTok define más mi identidad que cualquier proyecto personal.,Generación Z y crisis de sentido,neutral,8500,761
36,2021-07-13,user_96674,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,neutral,8940,2487
37,2024-10-01,user_75289,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,positivo,17998,3774
38,2021-11-23,user_23468,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,neutral,13979,2290
39,2024-02-16,user_16219,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",negativo,19962,3694
40,2021-08-20,user_53509,TikTok define más mi identidad que cualquier proyecto personal.,Generación Z y crisis de sentido,positivo,12513,3942
41,2022-12-21,user_2802,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",negativo,5425,2156
42,2024-12-10,user_41811,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",neutral,1557,288
43,2023-11-18,user_55623,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",negativo,4544,1632
44,2025-03-11,user_51638,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,neutral,1825,100
45,2021-11-26,user_46967,La autenticidad parece imposible en un mundo tan performativo.,Generación Z y crisis de sentido,positivo,6203,2386
46,2025-10-12,user_13363,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",positivo,8747,2143
47,2022-02-12,user_57958,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,positivo,16042,4884
48,2024-09-20,user_27900,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",neutral,7823,1299
49,2022-02-13,user_70281,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",negativo,9490,2917
50,2024-12-19,user_81599,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,neutral,6417,3161
51,2021-09-25,user_14278,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,positivo,18443,3123
52,2023-11-02,user_90587,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,6862,1224
53,2021-05-25,user_42468,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,neutral,17309,4667
54,2021-03-05,user_7024,La comodidad tecnológica parece costar nuestra autonomía.,"Tecnología, IA y autonomía humana",positivo,9085,2864
55,2021-12-25,user_98760,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",positivo,13372,1733
56,2025-05-06,user_75822,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,neutral,1144,3262
57,2023-07-07,user_68953,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,negativo,7041,2265
58,2024-08-16,user_77454,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",positivo,5482,985
59,2021-07-16,user_27083,La autenticidad parece imposible en un mundo tan performativo.,Generación Z y crisis de sentido,negativo,11809,4452
60,2023-03-21,user_80583,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",neutral,7218,3912
61,2021-01-13,user_40035,La Gen Z vive buscando validación digital sin darse cuenta.,"Tecnología, IA y autonomía humana",positivo,10091,4390
62,2025-11-16,user_65795,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",positivo,218,4016
63,2022-06-14,user_26980,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,positivo,12486,1902
64,2025-01-30,user_17304,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,positivo,2185,1063
65,2024-08-04,user_83891,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,18721,1879
66,2023-09-30,user_83516,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,negativo,2871,3568
67,2025-06-19,user_2350,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",negativo,8549,2404
68,2023-01-02,user_77084,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",positivo,78,475
69,2022-10-09,user_45788,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,neutral,19968,2688
70,2024-01-16,user_16231,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,negativo,4227,973
71,2023-05-28,user_68519,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,neutral,12520,543
72,2023-11-06,user_32311,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,17056,2268
73,2021-02-10,user_5632,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",negativo,8931,1248
74,2024-06-10,user_72668,Cada recomendación automática reduce mi libertad de elección.,"Tecnología, IA y autonomía humana",negativo,6391,3121
75,2021-12-31,user_72107,Siento que la IA decide por mí más de lo que admito.,Generación Z y crisis de sentido,negativo,8057,1240
76,2023-05-08,user_52228,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",negativo,16111,3647
77,2023-10-10,user_28461,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,positivo,17081,2263
78,2024-01-28,user_98927,La comodidad tecnológica parece costar nuestra autonomía.,"Tecnología, IA y autonomía humana",positivo,6194,1252
79,2023-09-13,user_70306,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,11091,2604
80,2022-03-20,user_85604,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,negativo,12306,1772
81,2021-01-15,user_7577,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",neutral,12341,4182
82,2023-09-07,user_84056,Cada recomendación automática reduce mi libertad de elección.,"Tecnología, IA y autonomía humana",neutral,14215,1667
83,2021-01-28,user_72584,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",neutral,14989,2173
84,2023-10-29,user_80270,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,neutral,8236,4966
85,2024-01-11,user_9599,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",negativo,18482,2988
86,2021-07-11,user_41182,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",neutral,18975,1999
87,2021-10-04,user_97880,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",positivo,4976,1127
88,2023-04-27,user_61675,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",negativo,3497,666
89,2021-08-18,user_68880,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,neutral,19138,88
90,2023-10-01,user_8259,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,neutral,15946,559
91,2024-03-26,user_85709,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",neutral,13311,3141
92,2023-04-04,user_52396,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",positivo,2745,1701
93,2021-07-27,user_32423,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,neutral,18547,1712
94,2024-11-12,user_77734,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",negativo,11095,949
95,2023-05-16,user_52111,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",neutral,17885,2753
96,2025-07-17,user_38243,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,negativo,16606,1658
97,2025-05-20,user_54289,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,neutral,8743,1421
98,2025-11-09,user_91524,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",neutral,13762,2667
99,2024-11-23,user_53204,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,9343,4503
100,2021-01-15,user_25611,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,neutral,14612,4473
101,2021-01-16,user_25938,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,negativo,4236,1565
102,2022-02-11,user_23285,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,positivo,15199,2609
103,2025-10-09,user_42695,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,positivo,2652,1579
104,2022-11-23,user_49447,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,5007,4297
105,2021-09-11,user_50381,La autenticidad parece imposible en un mundo tan performativo.,Generación Z y crisis de sentido,negativo,4727,4719
106,2025-02-22,user_60410,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",positivo,3840,3652
107,2023-09-18,user_57824,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",positivo,6794,3555
108,2024-04-14,user_75778,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,17751,2720
109,2024-10-08,user_57887,Cada recomendación automática reduce mi libertad de elección.,"Tecnología, IA y autonomía humana",neutral,4090,453
110,2025-05-21,user_79610,Siento que la IA decide por mí más de lo que admito.,"Tecnología, IA y autonomía humana",positivo,825,718
111,2024-10-09,user_69854,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,neutral,13080,4929
112,2025-07-01,user_98819,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,positivo,9449,2772
113,2024-03-25,user_10394,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,positivo,17975,4732
114,2023-05-16,user_32547,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",negativo,9813,288
115,2021-07-11,user_80980,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,positivo,1037,4506
116,2023-05-09,user_38576,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",positivo,18962,4146
117,2022-10-30,user_14676,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,neutral,59,4312
118,2023-02-08,user_41513,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,neutral,3920,449
119,2024-11-01,user_37334,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",negativo,17431,3665
120,2022-04-03,user_5199,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,negativo,14846,2204
121,2021-01-01,user_29512,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,10264,2569
122,2024-08-23,user_1311,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",positivo,116,3850
123,2024-05-30,user_22310,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,neutral,6196,2838
124,2023-02-22,user_60035,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,negativo,19867,4934
125,2023-02-02,user_2060,La comodidad tecnológica parece costar nuestra autonomía.,"Tecnología, IA y autonomía humana",neutral,10886,2156
126,2022-04-19,user_2257,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",positivo,16753,4133
127,2022-09-06,user_83213,Siento que la IA decide por mí más de lo que admito.,"Tecnología, IA y autonomía humana",positivo,16023,3705
128,2023-03-03,user_40160,La Gen Z vive buscando validación digital sin darse cuenta.,"Tecnología, IA y autonomía humana",neutral,10815,4923
129,2024-05-15,user_47573,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",negativo,1937,1368
130,2021-05-08,user_91345,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",neutral,16806,410
131,2024-01-15,user_30241,Siento que la IA decide por mí más de lo que admito.,"Tecnología, IA y autonomía humana",negativo,13043,784
132,2025-09-02,user_5118,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,negativo,15906,2686
133,2022-01-13,user_31380,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,9999,4418
134,2021-11-10,user_20142,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,17955,4623
135,2022-10-24,user_48120,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,negativo,7601,796
136,2023-08-02,user_44866,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,17321,4704
137,2022-11-12,user_35317,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",positivo,896,1372
138,2022-08-12,user_22114,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,positivo,18617,1649
139,2025-02-13,user_94721,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,negativo,7355,944
140,2022-10-27,user_38454,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,12398,1609
141,2021-01-15,user_32027,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",positivo,12749,2462
142,2023-09-29,user_13599,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,15142,3905
