id,fecha,usuario,texto,tema,sentimiento,likes,reposts
1,2023-09-17,user_39525,"El algoritmo no entiende de angustia existencial, solo de retención.",Generación Z y Crisis de Sentido,neutral,54231,21685
2,2023-01-08,user_33491,"Leyendo sobre esto, pienso que la vigilancia algorítmica está cambiando la forma en que nos relacionamos. Ya nada es igual.",IA y Pérdida de Autonomía,neutral,38802,15158
3,2023-08-16,user_67990,Nos vendieron libertad y compramos una jaula de oro digital.,IA y Pérdida de Autonomía,negativo,38947,4209
4,2022-04-29,user_80225,"Irónicamente, la precariedad emocional convierte todo en mercancía.",Generación Z y Crisis de Sentido,negativo,39735,13286
5,2023-11-25,user_26596,¿Es la precariedad emocional el precio inevitable de la modernidad?,Generación Z y Crisis de Sentido,negativo,45119,16701
6,2023-05-01,user_68244,"No es depresión, es la reacción lógica a un mundo sin propósito claro.",Generación Z y Crisis de Sentido,neutral,12242,4327
7,2023-12-02,user_90927,"Irónicamente, la hiperconectividad está cambiando la forma en que nos relacionamos. Ya nada es igual.",Generación Z y Crisis de Sentido,neutral,59506,22049
8,2023-05-09,user_74432,La precariedad emocional es una trampa brillante. Es innegable.,Generación Z y Crisis de Sentido,neutral,6846,3226
9,2024-05-03,user_54809,"Irónicamente, el biopoder reduce la complejidad humana a datos.",IA y Pérdida de Autonomía,negativo,48805,22244
10,2022-05-20,user_83079,Hemos cambiado la eternidad por la viralidad momentánea.,Generación Z y Crisis de Sentido,negativo,13040,4654
11,2023-02-19,user_82527,¿Hasta qué punto la tiranía de la conveniencia define quiénes somos?,IA y Pérdida de Autonomía,negativo,49324,5899
12,2022-11-14,user_48290,La libertad de ser cualquiera en internet termina siendo la prisión de no ser nadie en la realidad.,Generación Z y Crisis de Sentido,negativo,16987,315
13,2023-04-07,user_93201,"No es depresión, es la reacción lógica a un mundo sin propósito claro.",Generación Z y Crisis de Sentido,negativo,18591,4349
14,2024-02-05,user_56369,Shoshana Zuboff ya lo anticipó: el biopoder es el gran desafío.,IA y Pérdida de Autonomía,neutral,3973,459
